sample	Pop	Count_LinesInFile	Count_HomDer_Calls	Count_Het_Calls	Count_HomAnc_Calls	Total_DerAlleles	Count_HomDerSyn_Calls	Count_HomDerNonSyn_Calls	Count_HomDerLOF_Calls	Count_HetSyn_Calls	Count_HetNonSyn_Calls	Count_HetLOF_Calls	Total_DerAlleles_SYN	Total_DerAlleles_NONSYN	Total_DerAlleles_LOF	Ct_Lines_HomDerNoGERPScore	Ct_Lines_HetNoGERPScore	GERPScore_AllDerAlleles	GERPScore_HomDerSites	av_GERP_Total_DerAlleles	av_GERP_Total_HomDer_Sites	Ct_NONSYNDeralleles_GERPmt4	Ct_SYNDeralleles_GERPlt2	Count_SYN_homder_calls_GERPlt2	Count_NON_homder_calls_GERPmt4	Count_SYN_het_calls_GERPlt2	Count_NON_het_calls_GERPmt4	count_LOF_site_called	count_syn_site_called	count_nonsyn_site_called	count_LOF_site_called	count_synlt2_site_called	count_nonsynmt4_site_called
CR001_1040	CR	693279	9416	8329	675534	27161	5653	3743	20	4568	3734	27	15874	11220	67	0	1.0	-26929.993	-11336.224	-0.991604425952	-1.20405990441	3008	12085	4339	953	3407	1102	8612	262729	421938	8612	185273	219007
CR001_1535	CR	693279	9310	8445	675524	27065	5615	3681	14	4633	3783	29	15863	11145	57	0	0.0	-27363.694	-11116.714	-1.01111088941	-1.19418992373	3006	12139	4348	926	3443	1154	8612	262729	421938	8612	185273	219007
CR001_518	CR	693279	9361	8249	675669	26971	5658	3687	16	4478	3734	37	15794	11108	69	0	1.0	-27040.427	-11405.523	-1.00268566449	-1.21853878205	2963	12036	4364	911	3308	1141	8612	262729	421938	8612	185273	219007
CR001_523	CR	693279	9263	8433	675583	26959	5595	3649	19	4572	3831	30	15762	11129	68	0	1.0	-26872.288	-11473.944	-0.996894494732	-1.2388192615	2970	12038	4321	897	3396	1176	8612	262729	421938	8612	185273	219007
CR001_778	CR	693279	9369	8428	675482	27166	5624	3728	17	4655	3736	37	15903	11192	71	0	1.0	-27378.956	-11371.644	-1.00795037367	-1.21388172502	2999	12116	4333	936	3450	1127	8612	262729	421938	8612	185273	219007
CR001_783	CR	693279	9280	8617	675382	27177	5570	3691	19	4745	3838	34	15885	11220	72	0	0.0	-26941.939	-11186.731	-0.991423698252	-1.20559661601	3000	12100	4292	901	3516	1198	8612	262729	421938	8612	185273	219007
CR001_804	CR	693279	9452	8190	675637	27094	5720	3718	14	4375	3783	32	15815	11219	60	0	1.0	-26551.746	-11431.992	-0.980094717803	-1.20960660248	3019	12032	4395	939	3242	1141	8612	262729	421938	8612	185273	219007
CR001_805	CR	693279	9393	8335	675551	27121	5625	3753	15	4564	3737	34	15814	11243	64	0	1.0	-26738.462	-11182.581	-0.98600420385	-1.1906495954	3013	12052	4346	946	3360	1121	8612	262729	421938	8612	185273	219007
CR001_806	CR	693279	9489	8075	675715	27053	5713	3757	19	4404	3647	24	15830	11161	62	0	1.0	-27700.236	-11380.402	-1.02403829945	-1.19945215008	2950	12119	4419	939	3281	1072	8612	262729	421938	8612	185273	219007
CR001_810	CR	693279	9402	8254	675623	27058	5653	3731	18	4502	3728	24	15808	11190	60	0	1.0	-26906.191	-11271.537	-0.994499759749	-1.19897213062	2991	12069	4357	922	3355	1147	8612	262729	421938	8612	185273	219007
CR001_816	CR	693279	9325	8512	675442	27162	5631	3677	17	4621	3862	29	15883	11216	63	0	0.0	-27281.566	-11220.019	-1.00447592047	-1.2033482411	3006	12137	4341	920	3455	1166	8612	262729	421938	8612	185273	219007
CR001_820	CR	693279	9436	8369	675474	27241	5713	3703	20	4532	3819	18	15958	11225	58	0	1.0	-28030.021	-11713.203	-1.02907779573	-1.24146295707	2969	12184	4416	921	3352	1127	8612	262729	421938	8612	185273	219007
CR001_831	CR	693279	9238	8702	675339	27178	5577	3642	19	4834	3828	40	15988	11112	78	0	1.0	-28367.238	-11739.091	-1.0438726035	-1.27087701635	2911	12243	4325	886	3593	1139	8612	262729	421938	8612	185273	219007
CR001_835	CR	693279	9247	8571	675461	27065	5604	3626	17	4670	3865	36	15878	11117	70	0	0.0	-27113.853	-11239.824	-1.00187905997	-1.21564179104	2919	12107	4322	879	3463	1161	8612	262729	421938	8612	185273	219007
