START	END	cM	Len	SNP_Count	Prop_Cov	CHROM	Pop
26288394	26800506	0.6317	512112	10956	0.021394	10	CEU
87077137	88086446	0.000241612442862	1009309	25460	0.025225	10	CEU
91279339	92492820	1.27653370474	1213481	26546	0.021876	10	CEU
98527209	99329431	0.771735095448	802222	14634	0.018242	10	CEU
32684385	33613065	0.3979	928680	18208	0.019606	10	CEU
86376707	87850762	0.000352865207249	1474055	36015	0.024433	10	CEU
24814025	25938654	0.956142105263	1124629	24196	0.021515	10	CEU
109601796	111676253	1.17	2074457	51457	0.024805	10	CEU
37588098	43553596	0.21543658363	5965498	27418	0.004596	10	CEU
20148257	21225433	0.8568	1077176	27987	0.025982	10	CEU
86419743	87360238	0.000225139471113	940495	23116	0.024579	10	CEU
54947650	56233117	0.690363590116	1285467	30009	0.023345	10	CEU
48504502	49703912	0.406596974281	1199410	12480	0.010405	10	CEU
97349491	98527210	1.1029777533	1177719	22799	0.019359	10	CEU
108863428	109574422	0.561225531915	710994	19127	0.026902	10	CEU
21898018	24240962	0.8544	2342944	48929	0.020884	10	CEU
36967379	43827653	0.666322703494	6860274	43562	0.006350	10	CEU
87198791	88004408	0.000192851833662	805617	20494	0.025439	10	CEU
59852528	60408506	0.4318	555978	11166	0.020084	10	CEU
76080093	77070254	0.3721	990161	16910	0.017078	10	CEU
37265359	43675456	0.3461	6410097	34503	0.005383	10	CEU
57148228	58291104	0.275201142857	1142876	24965	0.021844	10	CEU
132279505	132958172	1.32311752434	678667	20678	0.030469	10	CEU
153436	1335557	0.0	1182121	30493	0.025795	10	CEU
32149108	33256863	0.301	1107755	19245	0.017373	10	CEU
123931299	125073121	1.71580018459	1141822	26972	0.023622	10	CEU
18580222	19331120	0.499249544763	750898	17380	0.023146	10	CEU
91087996	91621079	0.2895	533083	11234	0.021074	10	CEU
33709044	34194381	0.664770138889	485337	11545	0.023788	10	CEU
66532113	67607399	0.5577	1075286	25084	0.023328	10	CEU
98014849	99498360	1.7314	1483511	28593	0.019274	10	CEU
86821543	87193665	8.90800591918e-05	372122	9465	0.025435	10	CEU
106631661	107341972	0.153	710311	16562	0.023317	10	CEU
82989822	84019917	0.000246588279041	1030095	24473	0.023758	10	CEU
93225993	94225193	0.2956	999200	16845	0.016859	10	CEU
107809510	108846859	1.3245	1037349	25026	0.024125	10	CEU
93239667	94899437	0.7741	1659770	28180	0.016978	10	CEU
49930854	50497906	0.547	567052	16858	0.029729	10	CEU
119712063	120591972	0.940607781662	879909	20256	0.023021	10	CEU
57836978	58798551	0.178809134615	961573	22997	0.023916	10	CEU
125318385	125788817	1.15874542287	470432	12712	0.027022	10	CEU
132345605	132785315	1.08336263736	439710	13514	0.030734	10	CEU
37093569	43245174	0.293606789241	6151605	28941	0.004705	10	CEU
57836978	58681058	0.170009134615	844080	19907	0.023584	10	CEU
87657205	90076173	8.22864422153	2418968	42465	0.017555	10	CEU
57876389	58681058	0.162527252747	804669	18990	0.023600	10	CEU
95593113	97070671	0.957181818182	1477558	25618	0.017338	10	CEU
62024898	62503011	0.1468	478113	12035	0.025172	10	CEU
126880187	127235863	0.392285846788	355676	8667	0.024368	10	CEU
61961161	62503011	0.248701531729	541850	13463	0.024846	10	CEU
26831460	27694764	0.5829	863304	12904	0.014947	10	CEU
105487440	107738832	1.0774	2251392	50980	0.022644	10	CEU
56312496	56991407	0.7481	678911	16886	0.024872	10	CEU
83989617	85107864	0.000267690458912	1118247	26825	0.023988	10	CEU
67643875	68431684	0.535631552999	787809	19620	0.024905	10	CEU
105800892	106761871	0.539464043419	960979	22084	0.022981	10	CEU
78948475	79474089	0.894917634636	525614	13119	0.024959	10	CEU
90777356	91778144	1.2802	1000788	21504	0.021487	10	CEU
9493150	10086418	0.559612068966	593268	13520	0.022789	10	CEU
73844033	76317175	0.649620032376	2473142	38539	0.015583	10	CEU
103394174	105158004	0.3721	1763830	25563	0.014493	10	CEU
125956347	126722338	1.64542656849	765991	17781	0.023213	10	CEU
57613855	58582299	0.2382	968444	22268	0.022994	10	CEU
68071389	68568233	0.410765116412	496844	12288	0.024732	10	CEU
107099616	107895492	0.4877	795876	17511	0.022002	10	CEU
131148982	131591505	0.902370043464	442523	13634	0.030810	10	CEU
10304791	10964820	0.9329	660029	17650	0.026741	10	CEU
106456727	106934741	0.0625	478014	11845	0.024780	10	CEU
93377231	100774499	7.0939	7397268	140793	0.019033	10	CEU
36264501	36759178	0.591885046729	494677	11745	0.023743	10	CEU
37778076	42938391	0.0414	5160315	14218	0.002755	10	CEU
64762673	65595073	0.371032646351	832400	15268	0.018342	10	CEU
93377231	95250517	0.966407224335	1873286	32602	0.017404	10	CEU
67470571	68179595	0.5437	709024	17689	0.024948	10	CEU
116571524	117359708	0.186490004482	788184	16015	0.020319	10	CEU
62660669	63654145	0.481403875969	993476	24281	0.024440	10	CEU
20958974	23295903	1.2309	2336929	48151	0.020604	10	CEU
43827652	44467417	0.419778468299	639765	12996	0.020314	10	CEU
61989896	63620477	1.0794	1630581	40414	0.024785	10	CEU
112678486	113502165	0.545181272085	823679	21588	0.026209	10	CEU
55113705	56271692	0.637008305648	1157987	26962	0.023284	10	CEU
54796264	55397568	0.7851	601304	14329	0.023830	10	CEU
21550787	24359971	1.31848147296	2809184	56765	0.020207	10	CEU
95586091	96611102	0.4091	1025011	18181	0.017737	10	CEU
106753308	107306330	0.153	553022	12967	0.023448	10	CEU
37093569	43437556	0.370014634146	6343987	31624	0.004985	10	CEU
25372686	26675370	1.26513640777	1302684	28964	0.022234	10	CEU
69376769	70649200	0.7238	1272431	18901	0.014854	10	CEU
26028879	26729241	0.5868	700362	15239	0.021759	10	CEU
54947650	56271692	0.715963590116	1324042	30968	0.023389	10	CEU
86376707	87129797	0.000180277709398	753090	17823	0.023667	10	CEU
108846858	109336482	0.3838	489624	12765	0.026071	10	CEU
28904571	29204358	0.848208369565	299787	5798	0.019340	10	CEU
92921797	94112013	0.393746638562	1190216	21415	0.017993	10	CEU
114621587	116045796	2.01442622437	1424209	34593	0.024289	10	CEU
61885361	62562475	0.503139232833	677114	16574	0.024477	10	CEU
62667843	63629580	0.3671	961737	23459	0.024392	10	CEU
2826381	3072839	0.4791	246458	7503	0.030443	10	CEU
22931052	23725269	0.4978	794217	16986	0.021387	10	CEU
133644813	134118192	0.0	473379	11359	0.023996	10	CEU
92028388	93347419	1.5114	1319031	28604	0.021686	10	CEU
37861235	44019543	0.488800541712	6158308	31579	0.005128	10	CEU
30679257	31438265	1.4306	759008	15351	0.020225	10	CEU
86074753	87150327	0.000257475224752	1075574	24028	0.022340	10	CEU
57707871	58999735	0.3007	1291864	31193	0.024146	10	CEU
34535780	36132678	0.916623346303	1596898	32144	0.020129	10	CEU
92374825	92921798	0.947354670513	546973	12659	0.023144	10	CEU
58291103	58981879	0.213099142857	690776	17620	0.025508	10	CEU
114872847	115567560	1.06984068785	694713	18012	0.025927	10	CEU
87824863	88445020	0.00014845567386	620157	13934	0.022469	10	CEU
113098646	113763710	0.2468	665064	18211	0.027382	10	CEU
31952438	33597404	0.8182	1644966	31734	0.019292	10	CEU
128481153	129633708	1.71120238095	1152555	26698	0.023164	10	CEU
128215449	128827731	1.50100439684	612282	11636	0.019004	10	CEU
15324397	16457493	1.64925827269	1133096	28265	0.024945	10	CEU
50461059	50900965	0.497374784111	439906	11791	0.026804	10	CEU
84494197	85397595	0.000216259042233	903398	21745	0.024070	10	CEU
26138859	26620556	0.30880042735	481697	10737	0.022290	10	CEU
86258012	87608748	0.000323344609651	1350736	32317	0.023925	10	CEU
107978518	109393174	1.5683769409	1414656	35351	0.024989	10	CEU
44963835	45448049	0.356079148936	484214	12771	0.026375	10	CEU
69557264	70970108	0.801536028888	1412844	21164	0.014980	10	CEU
2134719	2410492	0.0	275773	8484	0.030765	10	CEU
20312941	20608000	0.218913863206	295059	7421	0.025151	10	CEU
116475098	117431664	0.251600678426	956566	19691	0.020585	10	CEU
32595924	36205930	3.1367	3610006	76158	0.021096	10	CEU
83305729	83796204	0.000117411875761	490475	11238	0.022913	10	CEU
92050052	92885225	0.9696	835173	18991	0.022739	10	CEU
37385149	43752644	0.344149391304	6367495	34656	0.005443	10	CEU
84822606	85947961	0.000269392000504	1125355	26312	0.023381	10	CEU
104072455	105315821	0.417280993645	1243366	18536	0.014908	10	CEU
73344555	73760648	0.73321843318	416093	10121	0.024324	10	CEU
97197859	98393448	0.8521	1195589	23733	0.019850	10	CEU
65683848	67544946	1.13771838113	1861098	42383	0.022773	10	CEU
58999734	59563546	0.3469	563812	12912	0.022901	10	CEU
106360537	107494125	0.287331034483	1133588	26089	0.023015	10	CEU
49911356	50496793	0.592802752294	585437	17422	0.029759	10	CEU
108964349	111137194	1.4253	2172845	57035	0.026249	10	CEU
119643354	120591972	1.13098432671	948618	22031	0.023224	10	CEU
109676547	111137194	0.7836	1460647	37196	0.025465	10	CEU
95417330	96809051	0.7544	1391721	25269	0.018157	10	CEU
8979912	10179675	0.9623	1199763	28334	0.023616	10	CEU
23694158	24641326	1.0426	947168	20964	0.022133	10	CEU
6941979	7588527	1.8069	646548	16721	0.025862	10	CEU
43634925	44693899	0.676997602601	1058974	23068	0.021783	10	CEU
85274467	87316933	0.000488933715763	2042466	47416	0.023215	10	CEU
18375761	19336666	0.926728256071	960905	22896	0.023828	10	CEU
78709082	79369520	0.833581871533	660438	16883	0.025563	10	CEU
103611437	104791595	0.280642541042	1180158	17117	0.014504	10	CEU
110945131	112173353	0.3816	1228222	27218	0.022161	10	CEU
83184375	83600326	9.9572021275e-05	415951	9321	0.022409	10	CEU
8994330	9858097	0.430307341222	863767	20344	0.023553	10	CEU
95529229	97001263	0.637279864407	1472034	25643	0.017420	10	CEU
106360537	107707496	0.388263579278	1346959	30745	0.022826	10	CEU
44144626	45423704	0.7951	1279078	32732	0.025590	10	CEU
30657987	32060646	1.96882341655	1402659	29236	0.020843	10	CEU
37345648	43430464	0.266251480959	6084816	26968	0.004432	10	CEU
10291849	11185237	1.3189	893388	24178	0.027063	10	CEU
66489245	67429126	0.4692	939881	21752	0.023143	10	CEU
36474954	43607221	0.959991666667	7132267	49413	0.006928	10	CEU
106939749	107939127	0.568	999378	22079	0.022093	10	CEU
133848759	134603625	0.0	754866	20563	0.027241	10	CEU
57707871	58730014	0.2241	1022143	24394	0.023866	10	CEU
57593012	60585601	1.56058252912	2992589	67907	0.022692	10	CEU
83104058	83618231	0.000123084798197	514173	11580	0.022522	10	CEU
8925748	10291850	1.45467552239	1366102	32864	0.024057	10	CEU
88117704	89976047	7.95438069456	1858343	28109	0.015126	10	CEU
93483241	94404823	0.131699212598	921582	14043	0.015238	10	CEU
8628812	10047957	1.003	1419145	33603	0.023678	10	CEU
86560990	87220042	0.000157766515203	659052	16275	0.024695	10	CEU
36493431	43607221	0.929340892465	7113790	48990	0.006887	10	CEU
44019542	44900490	0.622611646375	880948	21251	0.024123	10	CEU
8465925	8979913	1.0685	513988	12835	0.024971	10	CEU
16726723	17594255	1.23906842105	867532	20883	0.024072	10	CEU
63131233	63753329	0.382867227502	622096	14642	0.023537	10	CEU
52200097	53663736	1.4959	1463639	31424	0.021470	10	CEU
58291103	58749148	0.138099142857	458045	11648	0.025430	10	CEU
116587173	117855229	0.891387	1268056	28284	0.022305	10	CEU
130635656	131099432	1.94080103725	463776	14038	0.030269	10	CEU
56175579	56734169	0.438606571515	558590	13837	0.024771	10	CEU
97070989	97650898	0.2833	579909	11155	0.019236	10	CEU
27883005	28798971	0.7278	915966	18326	0.020007	10	CEU
126883604	127642186	1.32865084377	758582	16921	0.022306	10	CEU
61546774	62024899	0.5298	478125	10755	0.022494	10	CEU
19109228	19589123	0.441	479895	12606	0.026268	10	CEU
85969043	86376708	9.75884853098e-05	407665	8280	0.020311	10	CEU
5605733	6013305	0.680470940171	407572	9046	0.022195	10	CEU
22832058	24036853	0.6031	1204795	26517	0.022010	10	CEU
74090185	75694591	0.239500243309	1604406	24414	0.015217	10	CEU
37858864	43390727	0.1576	5531863	18540	0.003351	10	CEU
129878744	130281503	0.635599887214	402759	10610	0.026343	10	CEU
11322495	11820643	0.915968004398	498148	12167	0.024425	10	CEU
58552036	60212777	0.883844133477	1660741	37933	0.022841	10	CEU
112438786	113954383	1.6681	1515597	39487	0.026054	10	CEU
31157843	32427230	0.5545	1269387	26252	0.020681	10	CEU
62932957	64133672	0.7663	1200715	27864	0.023206	10	CEU
66647766	67199741	0.226274729242	551975	13322	0.024135	10	CEU
73406126	76861599	1.64319345455	3455473	58302	0.016872	10	CEU
32684385	33519279	0.242082352941	834894	15914	0.019061	10	CEU
72118664	72730531	1.32136308725	611867	14510	0.023714	10	CEU
106456727	107088221	0.1427	631494	15254	0.024155	10	CEU
86159272	88099402	0.000464436112995	1940130	46814	0.024129	10	CEU
