START	END	cM	Len	SNP_Count	Prop_Cov	CHROM	Pop
25878445	26633580	0.840637931034	755135	16431	0.021759	10	CLM
119170653	121862400	4.89672521339	2691747	59504	0.022106	10	CLM
1765990	2608866	0.0	842876	25494	0.030246	10	CLM
150921	1329985	0.0	1179064	30350	0.025741	10	CLM
32639437	36465719	3.43574225621	3826282	81184	0.021217	10	CLM
85105616	85425065	7.64709848618e-05	319449	7904	0.024743	10	CLM
105608624	107603398	0.911589664613	1994774	45313	0.022716	10	CLM
16975077	19334561	2.47324293076	2359484	45531	0.019297	10	CLM
57033434	60977220	2.36582632375	3943786	89306	0.022645	10	CLM
122463649	123639272	1.83827336562	1175623	28315	0.024085	10	CLM
131741315	132992921	2.61563296501	1251606	34696	0.027721	10	CLM
15269918	16716623	2.67100326996	1446705	35644	0.024638	10	CLM
18766441	19304451	0.2398	538010	12225	0.022723	10	CLM
86001586	87057052	0.000252661690937	1055466	23510	0.022275	10	CLM
97064587	98328124	1.00843254456	1263537	25461	0.020151	10	CLM
91995318	92683006	0.552534851069	687688	15463	0.022486	10	CLM
121827320	123639272	3.4011	1811952	43593	0.024059	10	CLM
124960344	129413250	9.9143	4452906	107585	0.024161	10	CLM
68725519	71009234	1.3026	2283715	38064	0.016668	10	CLM
10559352	11226236	0.8265	666884	18296	0.027435	10	CLM
49880573	52273437	1.69340036254	2392864	39545	0.016526	10	CLM
91025426	91649520	0.701673953717	624094	12891	0.020656	10	CLM
67112246	67460544	0.179382904877	348298	7887	0.022644	10	CLM
86455177	87161410	0.000169060892512	706233	17011	0.024087	10	CLM
23849517	24294199	0.25237472885	444682	10390	0.023365	10	CLM
99544468	100361160	1.5070017192	816692	19702	0.024124	10	CLM
125622055	129789935	9.45506555051	4167880	99723	0.023927	10	CLM
1441442	2748312	1.0021	1306870	39697	0.030376	10	CLM
5131975	8440608	9.1267	3308633	78585	0.023752	10	CLM
77690282	78624701	0.981630107527	934419	21241	0.022732	10	CLM
52727408	53176449	0.5102	449041	10318	0.022978	10	CLM
110423101	111029703	0.1893	606602	15828	0.026093	10	CLM
57757917	58952665	0.2667	1194748	28883	0.024175	10	CLM
59356617	60683539	1.3236	1326922	28312	0.021337	10	CLM
91195598	91893247	0.6674	697649	14533	0.020831	10	CLM
67766371	68332668	0.327112639405	566297	14045	0.024802	10	CLM
122221311	125447351	5.6917	3226040	77320	0.023967	10	CLM
132704644	135404646	0.277609170654	2700002	70007	0.025929	10	CLM
32010053	33231828	0.371458728011	1221775	21921	0.017942	10	CLM
112575941	122040832	14.9390924612	9464891	218503	0.023086	10	CLM
115308749	116032217	0.77	723468	17582	0.024302	10	CLM
34942822	44105044	2.7217	9162222	88860	0.009699	10	CLM
73208702	73870900	1.6309	662198	16861	0.025462	10	CLM
97361510	97997257	0.283456675749	635747	11088	0.017441	10	CLM
57757917	58541988	0.1828	784071	18313	0.023356	10	CLM
43873062	44775377	0.4712	902315	19844	0.021992	10	CLM
44893829	45446095	0.401523813618	552266	14274	0.025846	10	CLM
122961243	123253088	0.6838	291845	7283	0.024955	10	CLM
4817408	5471832	1.0493	654424	13783	0.021061	10	CLM
18753892	24000076	3.7338	5246184	118471	0.022582	10	CLM
100243589	101267534	0.533864261027	1023945	18723	0.018285	10	CLM
110770299	111592068	0.261300704225	821769	18546	0.022568	10	CLM
97335445	98527210	1.1030777533	1191765	23025	0.019320	10	CLM
116277524	117780090	0.6716125	1502566	32824	0.021845	10	CLM
32122013	33777407	1.1842	1655394	32171	0.019434	10	CLM
62932957	63674623	0.3254	741666	18107	0.024414	10	CLM
27861939	28973315	0.839255059084	1111376	22135	0.019917	10	CLM
29389907	30174938	1.32905273469	785031	16824	0.021431	10	CLM
68442047	72443574	5.16015550978	4001527	78327	0.019574	10	CLM
116144082	117509308	0.885954553441	1365226	29301	0.021462	10	CLM
130994978	131467811	1.17760883022	472833	14117	0.029856	10	CLM
38799714	43820226	0.40006331635	5020512	18938	0.003772	10	CLM
120102438	124450875	7.35887841332	4348437	97656	0.022458	10	CLM
110421755	111541536	0.3294	1119781	27197	0.024288	10	CLM
108919502	109487496	0.3237	567994	15014	0.026433	10	CLM
122291060	124450875	4.2275175018	2159815	50860	0.023548	10	CLM
126637358	127797007	2.04711511976	1159649	27450	0.023671	10	CLM
7644975	8179046	1.27300216815	534071	11811	0.022115	10	CLM
57961426	59860441	0.7887	1899015	45064	0.023730	10	CLM
58642075	60628319	1.408	1986244	44529	0.022419	10	CLM
37631610	43748569	0.281716301449	6116959	31230	0.005105	10	CLM
82815757	83572481	0.000181147630916	756724	17116	0.022619	10	CLM
54611457	55071216	0.929	459759	11588	0.025205	10	CLM
28051351	28999510	0.783016760967	948159	18419	0.019426	10	CLM
121210321	129741350	17.1606519595	8531029	201914	0.023668	10	CLM
130179652	135433991	9.9507	5254339	144102	0.027425	10	CLM
25313253	25966934	0.4058	653681	14916	0.022819	10	CLM
27262442	28304623	0.449592820255	1042181	18879	0.018115	10	CLM
57961426	59174313	0.4194	1212887	30055	0.024780	10	CLM
66285738	66891146	0.430735	605408	13704	0.022636	10	CLM
65646567	68224078	1.62884213198	2577511	60026	0.023288	10	CLM
125924352	129412536	7.60347571702	3488184	83145	0.023836	10	CLM
83764119	84725704	0.000230188080033	961585	23549	0.024490	10	CLM
24662443	26095196	1.9112	1432753	30952	0.021603	10	CLM
57841122	59276501	0.447836117137	1435379	34745	0.024206	10	CLM
26932163	28076404	0.5883	1144241	19284	0.016853	10	CLM
54840190	57147940	1.95732233207	2307750	55178	0.023910	10	CLM
26103305	26612270	0.2999	508965	11438	0.022473	10	CLM
37845076	43884277	0.455523819302	6039201	30194	0.005000	10	CLM
73704010	75062583	0.461280545787	1358573	22272	0.016394	10	CLM
9094327	10686720	2.06684033149	1592393	39379	0.024729	10	CLM
57720411	58283783	0.079206108863	563372	12721	0.022580	10	CLM
89364614	90757245	1.1	1392631	30548	0.021935	10	CLM
110788996	111792819	0.324536120043	1003823	22757	0.022670	10	CLM
121077455	125940646	9.0036	4863191	114169	0.023476	10	CLM
60761956	63621012	2.5174	2859056	66824	0.023373	10	CLM
57575731	59299864	0.525882172702	1724133	41130	0.023855	10	CLM
8239944	8932007	2.11988516687	692063	17582	0.025405	10	CLM
44406365	49876324	2.41198451152	5469959	64670	0.011823	10	CLM
55108715	55966146	0.524100102354	857431	20235	0.023600	10	CLM
69334198	71587774	2.5184	2253576	40206	0.017841	10	CLM
87220041	89897182	7.82794828681	2677141	49300	0.018415	10	CLM
109575802	110306734	0.682758077491	730932	19201	0.026269	10	CLM
131191619	131484626	0.572636448598	293007	8979	0.030644	10	CLM
103028744	104197331	0.2651	1168587	18285	0.015647	10	CLM
110460502	111180076	0.204085365854	719574	18153	0.025227	10	CLM
56769239	59087321	1.2723791623	2318082	54579	0.023545	10	CLM
83012380	86461662	0.00082570298109	3449282	80415	0.023314	10	CLM
65653428	67087768	0.834933093525	1434340	32581	0.022715	10	CLM
20555292	21011896	0.530944108761	456604	11611	0.025429	10	CLM
55353849	55866858	0.0817437262357	513009	12336	0.024046	10	CLM
58065360	58907445	0.218600726392	842085	20551	0.024405	10	CLM
78092092	78668607	0.44908346141	576515	12410	0.021526	10	CLM
85774715	86348122	0.000137264471063	573407	11629	0.020281	10	CLM
68591901	70161066	1.04830545455	1569165	29132	0.018565	10	CLM
76035782	77371255	0.6668	1335473	23660	0.017717	10	CLM
64764393	65656686	0.406711308562	892293	16534	0.018530	10	CLM
17523308	18532229	1.1401	1008921	13886	0.013763	10	CLM
72686090	73263750	1.42014354305	577660	16063	0.027807	10	CLM
73704010	74675579	0.357080545787	971569	16370	0.016849	10	CLM
74770135	77122357	0.841904819277	2352222	37572	0.015973	10	CLM
94172038	94890629	0.553	718591	12091	0.016826	10	CLM
18270340	19469120	1.452	1198780	28846	0.024063	10	CLM
84515494	85274410	0.000181672360682	758916	18039	0.023769	10	CLM
119225981	125237669	10.9741872483	6011688	138117	0.022975	10	CLM
26158355	26762548	0.503848275862	604193	13130	0.021732	10	CLM
3558971	6165855	6.39929418387	2606884	67269	0.025804	10	CLM
18780714	19247370	0.2207	466656	10604	0.022723	10	CLM
62892052	63674623	0.326435855715	782571	19290	0.024650	10	CLM
100085438	101671977	1.0888	1586539	29889	0.018839	10	CLM
