START	END	cM	Len	SNP_Count	Prop_Cov	CHROM	Pop
7527817	8125722	1.65986	597905	13592	0.022733	10	FIN
52715307	53519716	0.9198	804409	19235	0.023912	10	FIN
68780883	70673801	0.8421	1892918	31156	0.016459	10	FIN
84157150	86958882	0.000670689860851	2801732	64816	0.023134	10	FIN
37692306	43610671	0.2337	5918365	26837	0.004535	10	FIN
82762696	83760484	0.000238854499602	997788	22978	0.023029	10	FIN
61808879	62607532	0.601100704225	798653	19434	0.024334	10	FIN
70017476	71297378	1.06168465608	1279902	20527	0.016038	10	FIN
76628363	77921085	1.3443	1292722	27748	0.021465	10	FIN
106136735	107397308	0.5503	1260573	29411	0.023331	10	FIN
92861215	94513793	1.246208617	1652578	28388	0.017178	10	FIN
104136998	105772289	0.8165	1635291	27380	0.016743	10	FIN
15890695	18344089	3.935	2453394	48665	0.019836	10	FIN
44473289	47631780	1.19045595027	3158491	39002	0.012348	10	FIN
87150326	89809345	7.71386556026	2659019	48880	0.018383	10	FIN
97057908	97925878	0.614190049751	867970	16314	0.018796	10	FIN
21642428	22966212	0.3218	1323784	24969	0.018862	10	FIN
66502467	67935855	0.8713	1433388	33867	0.023627	10	FIN
71306032	71887857	1.82220913838	581825	15382	0.026438	10	FIN
87150326	89809345	7.71386556026	2659019	48880	0.018383	10	FIN
66758141	67070386	0.0696	312245	7632	0.024442	10	FIN
73610124	75939386	0.940248028169	2329262	36768	0.015785	10	FIN
91346450	92042401	0.899471037628	695951	14958	0.021493	10	FIN
24167029	26158590	2.8651	1991561	43774	0.021980	10	FIN
30725115	33536462	1.8891	2811347	55834	0.019860	10	FIN
55301649	58410728	1.9683	3109079	72332	0.023265	10	FIN
131932471	132526819	0.897906014326	594348	15918	0.026782	10	FIN
20519232	21300859	0.767346008403	781627	20146	0.025774	10	FIN
8693529	10068832	0.9575	1375303	32575	0.023686	10	FIN
59554248	60827243	1.30818673755	1272995	27177	0.021349	10	FIN
81369547	83081211	0.0188743344907	1711664	27988	0.016351	10	FIN
133362010	134274230	0.0	912220	22089	0.024215	10	FIN
31964901	33536462	0.6711	1571561	29851	0.018995	10	FIN
85985193	87134836	0.000275206159511	1149643	25692	0.022348	10	FIN
37692306	43811126	0.420548076923	6118820	31482	0.005145	10	FIN
109073293	110573931	1.2662	1500638	40311	0.026863	10	FIN
125280962	127868721	5.7179	2587759	61794	0.023879	10	FIN
67638025	70987024	2.0828	3348999	64516	0.019264	10	FIN
72239326	73441131	2.94656549448	1201805	32254	0.026838	10	FIN
66104081	68290598	1.3677	2186517	51589	0.023594	10	FIN
113232220	113650155	0.0553	417935	11183	0.026758	10	FIN
18963994	20683293	1.69539748284	1719299	44430	0.025842	10	FIN
44116832	45373479	0.714975856444	1256647	31813	0.025316	10	FIN
55163810	55539406	0.2907	375596	8859	0.023587	10	FIN
57573187	59626442	0.702838341463	2053255	48162	0.023456	10	FIN
84392346	85222103	0.000198630563833	829757	19618	0.023643	10	FIN
64447417	66268556	0.986436476147	1821139	36890	0.020257	10	FIN
16976036	17530467	0.6629	554431	13109	0.023644	10	FIN
30311421	33664765	3.32016550881	3353344	66587	0.019857	10	FIN
61745410	66006060	3.2987	4260650	95575	0.022432	10	FIN
105612169	107545505	0.864591823137	1933336	43730	0.022619	10	FIN
52274848	52872134	0.2522	597286	10944	0.018323	10	FIN
124972970	127044367	4.665	2071397	50919	0.024582	10	FIN
