START	END	cM	Len	SNP_Count	Prop_Cov	CHROM	Pop
66509047	67637722	0.63721	1128675	26340	0.023337	10	PUR
115557801	121862400	9.9037	6304599	140233	0.022243	10	PUR
86359859	87426519	0.000255341355624	1066660	26054	0.024426	10	PUR
50005794	50382136	0.312285909091	376342	11214	0.029797	10	PUR
108863428	109301531	0.304225531915	438103	11421	0.026069	10	PUR
84440084	85261249	0.000196573776359	821165	19527	0.023780	10	PUR
62012618	62515124	0.15719547956	502506	12701	0.025275	10	PUR
91960472	92672552	0.60937475324	712080	16029	0.022510	10	PUR
109604232	110014847	0.376306622517	410615	11049	0.026908	10	PUR
97064676	97664538	0.421685444646	599862	11521	0.019206	10	PUR
31124758	32030265	0.5201	905507	19673	0.021726	10	PUR
12845346	14264730	3.90039514246	1419384	33336	0.023486	10	PUR
93329710	94501158	0.337937268634	1171448	18986	0.016207	10	PUR
58408912	58706643	0.00124590049053	297731	7733	0.025973	10	PUR
66513196	67486870	0.419970430107	973674	22563	0.023173	10	PUR
73335343	78646536	3.89933032407	5311193	99333	0.018703	10	PUR
84530527	85346251	0.000195271287922	815724	19525	0.023936	10	PUR
95900792	97290080	0.9021	1389288	24162	0.017392	10	PUR
128098615	129116216	2.3238	1017601	22161	0.021778	10	PUR
8150677	14443883	13.3594	6293206	151702	0.024106	10	PUR
26161395	26630120	0.138948770492	468725	10350	0.022081	10	PUR
44432833	44895143	0.291491399333	462310	11789	0.025500	10	PUR
32222531	32680782	0.275850626204	458251	7717	0.016840	10	PUR
55259792	55834083	0.202616978817	574291	13561	0.023614	10	PUR
102850084	104850620	0.718757265962	2000536	32000	0.015996	10	PUR
132228099	133357778	1.4318	1129679	34615	0.030641	10	PUR
14649535	17548914	5.0339104428	2899379	67645	0.023331	10	PUR
82413422	83335197	0.000220658202314	921775	20273	0.021993	10	PUR
63002568	64294925	0.9343	1292357	30082	0.023277	10	PUR
51571130	53609086	1.7597	2037956	35010	0.017179	10	PUR
69468027	70670648	0.7238	1202621	17785	0.014789	10	PUR
36990464	45313372	1.5734	8322908	77376	0.009297	10	PUR
37256715	42897929	0.1322	5641214	21488	0.003809	10	PUR
63337338	63863814	0.460825825826	526476	12219	0.023209	10	PUR
102786406	104429143	0.759256152513	1642737	26794	0.016311	10	PUR
58243759	59218748	0.3982	974989	24663	0.025296	10	PUR
19205284	19715255	0.514168182657	509971	13606	0.026680	10	PUR
134117610	134874498	0.0	756888	20367	0.026909	10	PUR
23826328	24197263	0.0959713906111	370935	8483	0.022869	10	PUR
80983054	85053687	0.948732537874	4070633	84063	0.020651	10	PUR
44323392	44865151	0.306110093895	541759	13775	0.025426	10	PUR
122485175	123097762	0.876103532606	612587	14911	0.024341	10	PUR
58243759	58873947	0.214	630188	15882	0.025202	10	PUR
18838420	19420716	0.273073809524	582296	13385	0.022987	10	PUR
71435704	72035571	1.52371263383	599867	14520	0.024205	10	PUR
99640650	100219262	0.8783	578612	14547	0.025141	10	PUR
114855064	115731504	1.4295	876440	22095	0.025210	10	PUR
100411408	101178198	0.123876153846	766790	13318	0.017369	10	PUR
64780924	65525527	0.325160638298	744603	13610	0.018278	10	PUR
25059474	29962226	5.51983898717	4902752	97409	0.019868	10	PUR
112607586	113141374	0.533610026385	533788	13431	0.025162	10	PUR
16728441	18529329	2.2706	1800888	32949	0.018296	10	PUR
85843436	92698251	10.7630784088	6854815	142194	0.020744	10	PUR
3560999	4135121	2.3557	574122	16146	0.028123	10	PUR
126279429	127099749	1.15193926956	820320	18740	0.022845	10	PUR
22387530	29981804	8.0107	7594274	155758	0.020510	10	PUR
61815711	62583107	0.5943	767396	18679	0.024341	10	PUR
97235507	97993195	0.4596	757688	13580	0.017923	10	PUR
133358	5162680	8.7518	5029322	140770	0.027990	10	PUR
66619753	67302143	0.240933192982	682390	16265	0.023835	10	PUR
105508280	105976564	0.294446204986	468284	10234	0.021854	10	PUR
31132289	36007321	3.59593282855	4875032	101378	0.020795	10	PUR
106814320	107518356	0.202626415094	704036	15772	0.022402	10	PUR
15929072	16620608	1.41457967233	691536	16985	0.024561	10	PUR
84383655	85250956	0.00020761799737	867301	20508	0.023646	10	PUR
93006333	95637871	2.33719866071	2631538	48270	0.018343	10	PUR
20996693	24321738	1.95333591304	3325045	69587	0.020928	10	PUR
44828874	47658479	1.33402958934	2829605	30638	0.010828	10	PUR
54679866	65728428	8.85468040238	11048562	251288	0.022744	10	PUR
83988890	84559881	0.000136686119278	570991	13577	0.023778	10	PUR
111348952	111933973	0.179584657534	585021	12590	0.021521	10	PUR
72135999	72542596	1.04788333333	406597	9304	0.022883	10	PUR
131174963	131576903	0.8301	401940	12456	0.030990	10	PUR
4422213	6388928	4.9931	1966715	47281	0.024041	10	PUR
126789416	127632643	1.5034	843227	19115	0.022669	10	PUR
6617457	8418984	4.88854986107	1801527	43754	0.024287	10	PUR
122536579	123135760	0.943006060606	599181	14529	0.024248	10	PUR
129213375	131246025	6.81202651834	2032650	58115	0.028591	10	PUR
20137166	22587176	1.7497	2450010	53233	0.021728	10	PUR
67774449	68164227	0.203442424242	389778	9635	0.024719	10	PUR
93006333	95517178	2.12554883677	2510845	45487	0.018116	10	PUR
58633422	59573319	0.4308	939897	22684	0.024135	10	PUR
82775225	84011642	0.000295978468206	1236417	29081	0.023520	10	PUR
90125778	92995896	3.24183941504	2870118	63710	0.022198	10	PUR
53958524	54415152	0.564355208333	456628	9858	0.021589	10	PUR
19743083	20803510	0.888093261168	1060427	27172	0.025624	10	PUR
20914003	31137033	12.076435527	10223030	209270	0.020470	10	PUR
2898715	3289771	2.17052747253	391056	11939	0.030530	10	PUR
121979011	122299926	0.3812	320915	7650	0.023838	10	PUR
75706193	76827273	0.366969856459	1121080	18380	0.016395	10	PUR
78411007	78780052	0.607	369045	8453	0.022905	10	PUR
24507198	30849131	9.32406143683	6341933	127472	0.020100	10	PUR
37511224	43125298	0.0921	5614074	21420	0.003815	10	PUR
73994361	75322359	0.173348480506	1327998	20676	0.015569	10	PUR
57913869	58794533	0.1636	880664	21161	0.024028	10	PUR
83597041	98789223	16.4187340737	15192182	310075	0.020410	10	PUR
116432392	117834539	0.517988365974	1402147	30722	0.021911	10	PUR
22938778	33490507	11.8840117994	10551729	214099	0.020290	10	PUR
83600567	89588888	7.69161531583	5988321	128003	0.021375	10	PUR
86812613	87243413	0.000103126634544	430800	10997	0.025527	10	PUR
44920934	45422267	0.3365	501333	12988	0.025907	10	PUR
59425597	59823056	0.122990265487	397459	8745	0.022002	10	PUR
3863310	6875617	8.24075286519	3012307	75030	0.024908	10	PUR
7583450	11302626	7.03819363125	3719176	93131	0.025041	10	PUR
100155897	101149957	0.660775	994060	18604	0.018715	10	PUR
103651373	105462681	0.61048505877	1811308	27514	0.015190	10	PUR
100190154	101149957	0.602075	959803	17616	0.018354	10	PUR
72728488	73241546	1.28234648649	513058	14008	0.027303	10	PUR
56459924	58372973	1.3023	1913049	44003	0.023002	10	PUR
66297809	67103240	0.4979	805431	18815	0.023360	10	PUR
109403458	109988086	0.677419	584628	16252	0.027799	10	PUR
85907179	86956734	0.000251246692013	1049555	23208	0.022112	10	PUR
106518789	107401277	0.198097737909	882488	20731	0.023492	10	PUR
16785272	23717863	6.1310350851	6932591	149431	0.021555	10	PUR
7614683	8173345	1.62130439705	558662	12409	0.022212	10	PUR
26139348	26959164	1.12899859623	819816	16514	0.020144	10	PUR
55301281	56206199	0.386018446602	904918	21141	0.023362	10	PUR
17431349	18282667	0.614751313756	851318	9384	0.011023	10	PUR
18657333	23582737	3.5538	4925404	112366	0.022814	10	PUR
59425597	60508680	0.685849664964	1083083	22543	0.020814	10	PUR
44532445	44838832	0.0835	306387	7219	0.023562	10	PUR
87949909	89323704	7.43827415287	1373795	18985	0.013819	10	PUR
29602588	29993618	0.424416702709	391030	7415	0.018963	10	PUR
108862959	109577686	0.620913242009	714727	19271	0.026963	10	PUR
37874976	43747334	0.2484	5872358	26932	0.004586	10	PUR
119746959	124468302	7.70436468447	4721343	106573	0.022573	10	PUR
25558653	26630120	0.989	1071467	24151	0.022540	10	PUR
86460894	87293249	0.00019925248351	832355	20153	0.024212	10	PUR
124996209	125513087	0.675568326418	516878	14014	0.027113	10	PUR
129933440	130735377	3.51037962226	801937	23250	0.028992	10	PUR
32222531	32833143	0.284050626204	610612	10390	0.017016	10	PUR
23847726	24262011	0.17281432876	414285	9619	0.023218	10	PUR
56029930	56316587	0.16391605288	286657	6249	0.021800	10	PUR
57546798	58873947	0.334	1327149	31146	0.023468	10	PUR
4180906	4722471	1.5207	541565	16839	0.031093	10	PUR
112926318	113922112	0.670550740741	995794	27003	0.027117	10	PUR
92168903	92683794	0.160296022727	514891	11559	0.022449	10	PUR
134336932	134800015	0.0	463083	12578	0.027161	10	PUR
99130886	103096407	4.1817	3965521	76699	0.019341	10	PUR
109148820	110318627	1.0289130137	1169807	31209	0.026679	10	PUR
5377002	8209387	8.3059	2832385	67034	0.023667	10	PUR
76021561	76849449	0.245653041363	827888	14151	0.017093	10	PUR
130753589	131484626	1.9089	731037	21844	0.029881	10	PUR
105590009	106128476	0.2927	538467	11652	0.021639	10	PUR
62941920	63417651	0.1239030837	475731	11893	0.024999	10	PUR
2354538	3095198	1.5635	740660	22173	0.029937	10	PUR
3135315	3786726	2.2309752996	651411	17935	0.027533	10	PUR
38015190	43733292	0.2329	5718102	24421	0.004271	10	PUR
59425597	60525352	0.811590265487	1099755	22920	0.020841	10	PUR
80742988	83993750	1.8890788059	3250762	65143	0.020039	10	PUR
10491990	10761648	0.4972	269658	7272	0.026968	10	PUR
23847726	24262011	0.17281432876	414285	9619	0.023218	10	PUR
85464796	85976966	0.000122605312011	512170	11399	0.022256	10	PUR
49930971	52096311	1.5444	2165340	34588	0.015973	10	PUR
29122598	30263181	2.43237158778	1140583	25208	0.022101	10	PUR
80224867	84383656	2.69989628109	4158789	89650	0.021557	10	PUR
84597529	84940658	8.21395983855e-05	343129	8295	0.024175	10	PUR
95616701	112951483	13.7501	17334782	358298	0.020669	10	PUR
53929205	54330110	0.3181	400905	8611	0.021479	10	PUR
15293902	16737164	2.6721	1443262	35573	0.024648	10	PUR
68456633	69052456	0.5974	595823	14297	0.023995	10	PUR
34551242	35267294	0.355204390193	716052	14986	0.020929	10	PUR
75706193	81911689	7.75975025023	6205496	131639	0.021213	10	PUR
1570434	3940707	6.1195	2370273	69931	0.029503	10	PUR
67280835	67774450	0.4297	493615	11630	0.023561	10	PUR
94774002	99283609	4.7726	4509607	85838	0.019034	10	PUR
9659839	10356273	1.09944888889	696434	17171	0.024656	10	PUR
84517414	85261249	0.000178062210321	743835	17647	0.023724	10	PUR
12448087	13638297	2.72420362261	1190210	25829	0.021701	10	PUR
23369228	34168881	12.7603205729	10799653	221150	0.020478	10	PUR
37598410	38341210	0.0307586330935	742800	12479	0.016800	10	PUR
115076442	115671672	0.615957250188	595230	15138	0.025432	10	PUR
37598410	43606650	0.236058633094	6008240	28556	0.004753	10	PUR
92840841	98800638	5.59452796015	5959797	110328	0.018512	10	PUR
128069974	131135774	9.3443	3065800	80473	0.026249	10	PUR
124979235	125475113	0.7292	495878	13355	0.026932	10	PUR
17068982	19420716	2.36535780347	2351734	45426	0.019316	10	PUR
126267075	126708653	0.4821	441578	9388	0.021260	10	PUR
31078673	31906488	0.3538	827815	18100	0.021865	10	PUR
79992753	82479541	3.2269649597	2486788	52389	0.021067	10	PUR
110228492	111237258	0.584798655462	1008766	25451	0.025230	10	PUR
424144	3232117	2.94636298098	2807973	81215	0.028923	10	PUR
72311649	72773461	0.828482908163	461812	12167	0.026346	10	PUR
95616701	99283609	3.1195	3666908	68137	0.018582	10	PUR
65242838	66297810	0.6133	1054972	21671	0.020542	10	PUR
129719210	135433991	10.7447	5714781	155817	0.027266	10	PUR
57020257	71717217	12.1310489164	14696960	322690	0.021956	10	PUR
37162529	54761284	8.26743230543	17598755	211136	0.011997	10	PUR
58317781	59049695	0.331360334836	731914	18697	0.025545	10	PUR
86121730	87770259	0.00039463149424	1648529	38958	0.023632	10	PUR
44211172	45442336	0.781	1231164	31634	0.025694	10	PUR
98155677	98399411	0.200041838806	243734	5461	0.022406	10	PUR
19485773	20234980	0.7066	749207	20051	0.026763	10	PUR
108003415	117830346	10.2783504019	9826931	238634	0.024284	10	PUR
110455603	110822185	0.101286890244	366582	9598	0.026182	10	PUR
14500101	16887788	4.42549587814	2387687	55877	0.023402	10	PUR
21288920	22830516	0.873702985075	1541596	28418	0.018434	10	PUR
99549712	108010933	6.107365	8461221	163985	0.019381	10	PUR
59487560	60288420	0.4903	800860	16631	0.020766	10	PUR
91584518	92347877	1.0229	763359	16640	0.021798	10	PUR
108959005	109442286	0.1706	483281	12638	0.026150	10	PUR
122885553	123094224	0.293727827345	208671	5441	0.026075	10	PUR
44116667	44771189	0.2188	654522	16306	0.024913	10	PUR
95861694	96760501	0.297219391875	898807	14945	0.016628	10	PUR
27072691	27928784	0.42491042654	856093	13812	0.016134	10	PUR
84559880	85330328	0.000184432937166	770448	18465	0.023967	10	PUR
15203946	15677520	0.7741714387	473574	10761	0.022723	10	PUR
21243557	22675118	0.897149445117	1431561	26350	0.018406	10	PUR
112951482	113406711	0.3539	455229	12835	0.028195	10	PUR
85856016	87285949	0.000342303105649	1429933	32358	0.022629	10	PUR
54091599	54427594	0.4943	335995	7413	0.022063	10	PUR
26188454	26617135	0.0871455128205	428681	9453	0.022051	10	PUR
113260151	114056824	0.6816	796673	20718	0.026006	10	PUR
12353930	14554275	5.94356886269	2200345	52187	0.023718	10	PUR
55313289	55925950	0.2824	612661	14796	0.024150	10	PUR
68774600	69688179	0.1963	913579	16769	0.018355	10	PUR
100242108	101178198	0.449240384615	936090	16946	0.018103	10	PUR
124359145	125570978	2.08169984619	1211833	30222	0.024939	10	PUR
32659387	33409990	0.1757	750603	13745	0.018312	10	PUR
78202532	78666066	0.306575841323	463534	9796	0.021133	10	PUR
20266588	20607134	0.307504878049	340546	8628	0.025336	10	PUR
37059989	42513412	0.2536	5453423	24304	0.004457	10	PUR
53195399	56491718	3.8749	3296319	78471	0.023806	10	PUR
