START	END	cM	Len	SNP_Count	Prop_Cov	CHROM	Pop
61242006	62395516	1.379	1153510	26416	0.022901	10	PEL
169754	1314088	0.0	1144334	29583	0.025852	10	PEL
103494061	105464082	0.638375223688	1970021	30077	0.015267	10	PEL
69219598	71099178	1.2204	1879580	29284	0.015580	10	PEL
103756722	105508281	0.716155623465	1751559	26728	0.015260	10	PEL
58348256	58809788	0.0278872611465	461532	11801	0.025569	10	PEL
9655385	10264677	1.05112265193	609292	14751	0.024210	10	PEL
14853218	16957561	3.68338182938	2104343	48922	0.023248	10	PEL
54582738	56092584	1.5284	1509846	36107	0.023914	10	PEL
78060046	78589942	0.326183454301	529896	11582	0.021857	10	PEL
2653202	6220093	10.4435746835	3566891	95127	0.026669	10	PEL
54772981	55826971	0.8578	1053990	24874	0.023600	10	PEL
12498023	15609816	7.35022086614	3111793	71747	0.023056	10	PEL
37439981	43566759	0.256522324826	6126778	29557	0.004824	10	PEL
114551743	117718290	3.81253473684	3166547	73239	0.023129	10	PEL
127289223	128013757	1.58529620493	724534	16862	0.023273	10	PEL
90163038	90917725	0.6372	754687	17518	0.023212	10	PEL
127390198	128178295	1.45878369352	788097	18556	0.023545	10	PEL
57449459	59319836	0.6255	1870377	43955	0.023501	10	PEL
65683848	68082800	1.55910491611	2398952	55964	0.023329	10	PEL
37781723	43578744	0.2265	5797021	24611	0.004245	10	PEL
93051743	93951793	0.3575	900050	16309	0.018120	10	PEL
129457131	129879573	1.01749468822	422442	11165	0.026430	10	PEL
158228	988069	0.0	829841	21939	0.026438	10	PEL
54611119	55945800	1.4796	1334681	32161	0.024096	10	PEL
57649454	58820426	0.292637921004	1170972	27647	0.023610	10	PEL
103661276	105508281	0.728553850415	1847005	28333	0.015340	10	PEL
112380281	113930674	1.63283451676	1550393	40264	0.025970	10	PEL
64619623	66450616	1.03909308756	1830993	37082	0.020252	10	PEL
58137747	58820426	0.18882418861	682679	16542	0.024231	10	PEL
57700570	58749789	0.2257	1049219	24932	0.023762	10	PEL
17718493	20024306	2.1864	2305813	46813	0.020302	10	PEL
105763271	108052842	1.467	2289571	52436	0.022902	10	PEL
55294622	56240694	0.4094	946072	22185	0.023450	10	PEL
10628003	11770171	2.2529	1142168	30612	0.026802	10	PEL
21337000	24491818	1.637	3154818	64411	0.020417	10	PEL
58315441	58872678	0.203595524957	557237	14184	0.025454	10	PEL
122892233	123136942	0.443024558031	244709	6248	0.025532	10	PEL
55294622	56093920	0.3445	799298	19063	0.023850	10	PEL
107008690	107764316	0.253480855959	755626	16571	0.021930	10	PEL
63230780	65601668	1.71748538961	2370888	50144	0.021150	10	PEL
55189207	56034258	0.469774754538	845051	20070	0.023750	10	PEL
82259507	82887826	0.000150409526207	628319	13342	0.021234	10	PEL
36499065	43491663	0.902364093072	6992598	45714	0.006537	10	PEL
57430302	59428823	0.732015947404	1998521	46912	0.023473	10	PEL
86599259	87181273	0.000139324849298	582014	14318	0.024601	10	PEL
3119079	3627714	2.0304	508635	14145	0.027810	10	PEL
49793811	51046602	1.4075	1252791	34171	0.027276	10	PEL
9540193	11473674	3.56222482759	1933481	50734	0.026240	10	PEL
57741565	58610132	0.1828	868567	20406	0.023494	10	PEL
27342186	28889896	0.9496	1547710	28879	0.018659	10	PEL
55289689	56980125	1.2434	1690436	40509	0.023964	10	PEL
25924131	27409932	1.78692053347	1485801	28162	0.018954	10	PEL
100125557	102493399	1.7549	2367842	42871	0.018106	10	PEL
130346153	131558651	4.76937184185	1212498	36746	0.030306	10	PEL
43857373	45321659	0.895	1464286	34147	0.023320	10	PEL
66391916	67291791	0.5186	899875	21225	0.023587	10	PEL
91092230	92867818	1.6785	1775588	38877	0.021895	10	PEL
110528896	113879794	2.2644002008	3350898	81435	0.024302	10	PEL
50537428	54110638	2.9714	3573210	60612	0.016963	10	PEL
118565397	119505051	2.33301333333	939654	20434	0.021746	10	PEL
19778071	23332968	2.2619804878	3554897	79181	0.022274	10	PEL
131485021	133002016	4.7745	1516995	42978	0.028331	10	PEL
66732604	67289357	0.236	556753	13584	0.024399	10	PEL
27045531	27896703	0.3582	851172	13556	0.015926	10	PEL
109607863	112432037	1.51464634146	2824174	68014	0.024083	10	PEL
224558	1011641	0.0	787083	21071	0.026771	10	PEL
58610131	59980194	0.7109	1370063	32295	0.023572	10	PEL
33737994	36284854	2.38858385292	2546860	54339	0.021336	10	PEL
43857373	45399652	0.9764	1542279	36273	0.023519	10	PEL
58119230	59218748	0.3982	1099518	27155	0.024697	10	PEL
2090550	2612374	0.0	521824	15639	0.029970	10	PEL
62719481	63477238	0.2001	757757	18575	0.024513	10	PEL
57741565	59686690	0.6407	1945125	46008	0.023653	10	PEL
6860259	8308228	3.89872459485	1447969	35091	0.024235	10	PEL
58872677	61806371	2.75480073918	2933694	64083	0.021844	10	PEL
