START	END	cM	Len	SNP_Count	Prop_Cov	CHROM	Pop
24497390	27127994	3.56753385827	2630604	54938	0.020884	10	CO
28812688	37179084	10.23	8366396	175311	0.020954	10	CO
57546881	58954367	0.3374	1407486	33249	0.023623	10	CO
120593326	122999866	3.60758181818	2406540	52779	0.021931	10	CO
126264369	129744248	7.12233822289	3479879	82939	0.023834	10	CO
37651374	43254157	0.114268431912	5602783	20394	0.003640	10	CO
57897534	62672429	3.9582518144	4774895	108885	0.022804	10	CO
101108092	104121131	2.3242	3013039	52542	0.017438	10	CO
120368600	126228745	11.3378001183	5860145	134732	0.022991	10	CO
106284771	107008691	0.222590532098	723920	17640	0.024367	10	CO
8662395	10165155	1.38455366726	1502760	35624	0.023706	10	CO
12807275	13943824	2.78050944206	1136549	25697	0.022610	10	CO
76254916	77658375	0.8026	1403459	26669	0.019002	10	CO
1028740	1500884	0.0	472144	12227	0.025897	10	CO
8501489	10165155	1.85756163186	1663666	39898	0.023982	10	CO
8377106	10165155	2.7982941931	1788049	43128	0.024120	10	CO
43991674	44894080	0.613879298246	902406	21461	0.023782	10	CO
3989898	4417473	0.835002672606	427575	12965	0.030322	10	CO
55163810	57198351	1.73329256757	2034541	48839	0.024005	10	CO
30829353	34058965	2.68325416667	3229612	66673	0.020644	10	CO
54859612	55109127	0.098449334698	249515	6149	0.024644	10	CO
95415507	100533495	5.3059	5117988	100195	0.019577	10	CO
20288527	25252969	4.3882	4964442	107402	0.021634	10	CO
103528395	105467814	0.639100869565	1939419	29585	0.015255	10	CO
36918424	43813615	0.762356053068	6895191	44319	0.006428	10	CO
68701774	69879968	0.433087777778	1178194	21658	0.018382	10	CO
78044525	78784742	0.8921	740217	16710	0.022574	10	CO
8435146	10143277	2.56955224359	1708131	41076	0.024047	10	CO
84862526	85424932	0.000134631007492	562406	13765	0.024475	10	CO
29541116	48448045	11.3509498437	18906929	255641	0.013521	10	CO
50936448	54238823	2.66143458111	3302375	53236	0.016121	10	CO
95611097	100593311	5.0137	4982214	96951	0.019459	10	CO
27064231	28644606	0.7531	1580375	28703	0.018162	10	CO
57546881	66446351	6.482	8899470	199041	0.022365	10	CO
119625062	122999866	4.80585015773	3374804	75294	0.022311	10	CO
1883770	5416421	9.3142	3532651	99800	0.028251	10	CO
53155762	54168351	1.46694087118	1012589	24305	0.024003	10	CO
58361870	59163049	0.2595	801179	20572	0.025677	10	CO
37193801	38015263	0.1427	821462	12718	0.015482	10	CO
54835140	55813123	0.594276932747	977983	23013	0.023531	10	CO
27171106	27886447	0.32136	715341	11114	0.015537	10	CO
23407758	24497391	0.691332881691	1089633	23799	0.021841	10	CO
111180097	112203276	0.41759217098	1023179	22393	0.021886	10	CO
102975445	104979735	0.511064120964	2004290	31239	0.015586	10	CO
85250955	86013322	0.000182498474925	762367	18360	0.024083	10	CO
15227636	18781803	5.53929747735	3554167	75813	0.021331	10	CO
100283803	101293974	0.495000396825	1010171	18581	0.018394	10	CO
110316480	112313637	0.862948609992	1997157	46910	0.023488	10	CO
96073993	96853363	0.165551265337	779370	12040	0.015448	10	CO
37988445	43337851	0.1486	5349406	15860	0.002965	10	CO
100283803	101263310	0.405503427128	979507	17923	0.018298	10	CO
29008916	37179084	9.91339592089	8170168	171391	0.020978	10	CO
54835140	55695351	0.594276932747	860211	20356	0.023664	10	CO
73895323	75671875	0.3077	1776552	26900	0.015142	10	CO
109607447	110319951	0.563981103948	712504	18479	0.025935	10	CO
50990104	53223351	1.2148	2233247	27640	0.012377	10	CO
81060004	82206892	0.877663000949	1146888	15587	0.013591	10	CO
131219	1436655	0.0	1305436	33609	0.025745	10	CO
15236039	16818398	2.96284269063	1582359	39069	0.024690	10	CO
116079144	117830346	1.43897767221	1751202	39059	0.022304	10	CO
31664185	33035854	0.6246	1371669	26006	0.018959	10	CO
3275642	3857816	2.03143759398	582174	15479	0.026588	10	CO
5272208	6119384	1.7207	847176	19719	0.023276	10	CO
