START	END	cM	Len	SNP_Count	Prop_Cov	CHROM	Pop
67558415	68073354	0.253485505012	514939	13012	0.025269	10	MEX
92019378	92862588	0.647141544734	843210	19263	0.022845	10	MEX
12385597	13771876	3.08549659287	1386279	30813	0.022227	10	MEX
100359119	102923828	2.0691589963	2564709	46666	0.018195	10	MEX
109643471	110972269	0.790015089978	1328798	34750	0.026151	10	MEX
97300127	97985823	0.290848275862	685696	11917	0.017379	10	MEX
120186388	120724918	0.7129	538530	11719	0.021761	10	MEX
57175945	59415436	0.7391	2239491	51983	0.023212	10	MEX
126184021	126695073	0.575397166444	511052	11259	0.022031	10	MEX
89817226	90751882	0.8855	934656	21462	0.022962	10	MEX
95795370	97086073	0.8379	1290703	21789	0.016882	10	MEX
58679973	59431449	0.423245470852	751476	18377	0.024455	10	MEX
26853890	29205305	2.17072506375	2351415	42216	0.017953	10	MEX
44172004	44838776	0.234724067164	666772	16828	0.025238	10	MEX
119725955	120724918	1.13060141844	998963	22642	0.022666	10	MEX
67679450	68071574	0.230695201535	392124	9757	0.024882	10	MEX
112979451	113580708	0.2887	601257	16571	0.027561	10	MEX
134473120	135433991	0.0	960871	23021	0.023958	10	MEX
63087476	63768604	0.4477	681128	16210	0.023799	10	MEX
106557994	107404839	0.1869	846845	19796	0.023376	10	MEX
66506065	67374637	0.45033	868572	20191	0.023246	10	MEX
66732604	67656657	0.5118	924053	22098	0.023914	10	MEX
67763281	68244199	0.357021722172	480918	11842	0.024624	10	MEX
18227451	18790704	1.05275270369	563253	14031	0.024911	10	MEX
23818926	24245284	0.1052	426358	9894	0.023206	10	MEX
103590111	105194476	0.3311	1604365	23049	0.014366	10	MEX
44172004	44838776	0.234724067164	666772	16828	0.025238	10	MEX
132012705	132695172	1.3903	682467	19796	0.029007	10	MEX
84555748	85439697	0.000211603262485	883949	21613	0.024451	10	MEX
14393126	15955526	2.753	1562400	35534	0.022743	10	MEX
85650196	86323507	0.000161179891902	673311	14215	0.021112	10	MEX
77669625	81176817	6.08821509168	3507192	88632	0.025272	10	MEX
86591262	87879204	0.000308312729684	1287942	32036	0.024874	10	MEX
58276913	59574300	0.563316553288	1297387	31499	0.024279	10	MEX
77664932	78517759	1.27831505982	852827	19966	0.023412	10	MEX
58810544	59384827	0.304886624204	574283	13857	0.024129	10	MEX
57449652	57934947	0.1609	485295	10447	0.021527	10	MEX
84606192	85414000	0.000193376324043	807808	19436	0.024060	10	MEX
18914266	19638989	0.5605	724723	18319	0.025277	10	MEX
36547934	37341426	0.5774	793492	15767	0.019870	10	MEX
97325125	99379691	2.02471832192	2054566	38919	0.018943	10	MEX
23683412	24194375	0.22719928689	510963	11095	0.021714	10	MEX
32438425	33536529	0.488490378007	1098104	20655	0.018810	10	MEX
108862740	109320882	0.313413355049	458142	11916	0.026009	10	MEX
110402357	111233122	0.23468754717	830765	21156	0.025466	10	MEX
57934946	59843994	0.7887	1909048	45235	0.023695	10	MEX
45357797	47663227	0.895938635573	2305430	17002	0.007375	10	MEX
113113906	113747078	0.224000221076	633172	17278	0.027288	10	MEX
120097720	120716774	0.7542	619054	13658	0.022063	10	MEX
64787293	65865809	0.561790788602	1078516	20638	0.019136	10	MEX
23260181	24320514	0.738572037422	1060333	23291	0.021966	10	MEX
124426764	125839419	2.65692199203	1412655	35830	0.025364	10	MEX
116460308	117702836	0.377	1242528	26490	0.021319	10	MEX
57758771	58651110	0.1828	892339	21031	0.023568	10	MEX
54903083	55875938	0.6021	972855	23149	0.023795	10	MEX
34206476	34997892	0.632904374057	791416	18834	0.023798	10	MEX
66398178	67530899	0.62892195572	1132721	26372	0.023282	10	MEX
109836187	111293979	0.816392979243	1457792	37119	0.025462	10	MEX
116353801	117843954	0.7966	1490153	32917	0.022090	10	MEX
55104064	55840192	0.4092	736128	17191	0.023353	10	MEX
43780701	44817959	0.633088811189	1037258	22432	0.021626	10	MEX
104367376	106297478	1.17178918083	1930102	35455	0.018370	10	MEX
37089322	43216662	0.282702439024	6127340	28830	0.004705	10	MEX
100104710	101289598	0.853027358491	1184888	22828	0.019266	10	MEX
63349779	64635589	1.18398416486	1285810	29179	0.022693	10	MEX
67640435	68084935	0.32825026178	444500	11276	0.025368	10	MEX
58272207	59316407	0.4434	1044200	25915	0.024818	10	MEX
32454878	33398590	0.313504590164	943712	16933	0.017943	10	MEX
111166197	112372122	0.501884267453	1205925	26423	0.021911	10	MEX
62079904	64076479	1.45872953368	1996575	47904	0.023993	10	MEX
58272207	59342165	0.4434	1069958	26419	0.024692	10	MEX
116514318	117431664	0.2487	917346	18891	0.020593	10	MEX
69903216	70770742	0.383115068493	867526	12193	0.014055	10	MEX
832863	5532486	9.37471745651	4699623	130529	0.027774	10	MEX
97320287	98168379	0.546440034284	848092	16013	0.018881	10	MEX
126770494	127369424	0.751961487409	598930	14588	0.024357	10	MEX
54837317	55296593	0.411756882464	459276	10753	0.023413	10	MEX
21905731	22826618	0.2212	920887	17205	0.018683	10	MEX
110407140	111482183	0.3071	1075043	26157	0.024331	10	MEX
64781509	66983993	1.18051488987	2202484	46103	0.020932	10	MEX
26096104	27420179	1.3589	1324075	24889	0.018797	10	MEX
68262862	69899839	1.14484114514	1636977	33165	0.020260	10	MEX
58809443	59384827	0.307703478261	575384	13890	0.024140	10	MEX
56967379	58387142	0.7249	1419763	32004	0.022542	10	MEX
31996209	32459113	0.259792772668	462904	8702	0.018799	10	MEX
107353614	108069615	0.740141188119	716001	16328	0.022804	10	MEX
102027587	102664996	1.0404	637409	12261	0.019236	10	MEX
97189875	98453354	1.00894466192	1263479	25174	0.019924	10	MEX
61663376	62528381	0.630279571429	865005	20608	0.023824	10	MEX
105927109	107674816	0.73979567474	1747707	39797	0.022771	10	MEX
77669625	78517759	1.20751509168	848134	19843	0.023396	10	MEX
108545041	110316510	1.89601154311	1771469	46049	0.025995	10	MEX
