AUTO_START	AUTO_END	GOOD_SITES	ROH_LENGTH	PROP_COVERED	INDV	CHROM	POP
173120583	175413433	1576100	2.29285	0.687	NA06986	1	CEU
190127040	192200197	1703927	2.073157	0.822	NA07051	1	CEU
192553865	194558868	1586698	2.005003	0.791	NA10847	1	CEU
81343809	83435960	1692634	2.092151	0.809	NA07037	2	CEU
192567737	199719249	5612512	7.151512	0.785	NA07056	2	CEU
209049840	211506275	1847451	2.456435	0.752	NA07347	2	CEU
184837640	186863405	1635069	2.025765	0.807	NA11930	2	CEU
81545943	84981325	2762600	3.435382	0.804	NA06986	3	CEU
25765743	27808868	1529912	2.043125	0.749	NA07357	3	CEU
161498305	166699547	3967042	5.201242	0.763	NA10851	3	CEU
48219081	51689223	2128197	3.470142	0.613	NA11932	3	CEU
117238916	119785381	1837080	2.546465	0.721	NA11829	4	CEU
138300241	140696317	1626996	2.396076	0.679	NA06994	5	CEU
11901985	14107381	1770130	2.205396	0.803	NA07357	5	CEU
129528241	131616673	1452451	2.088432	0.695	NA11832	5	CEU
114347405	116770100	1898633	2.422695	0.784	NA07056	6	CEU
25944117	28423510	1580831	2.479393	0.638	NA11829	6	CEU
26352520	29352297	1887199	2.999777	0.629	NA11831	6	CEU
26352253	30676046	2728301	4.323793	0.631	NA11920	6	CEU
118726685	120741044	1642270	2.014359	0.815	NA11840	7	CEU
25862970	28037886	1666987	2.174916	0.766	NA11894	7	CEU
111489302	113499341	1645903	2.010039	0.819	NA06989	8	CEU
111351967	113506061	1764985	2.154094	0.819	NA11830	8	CEU
108669676	110773547	1689184	2.103871	0.803	NA11918	8	CEU
95935293	98122445	1478678	2.187152	0.676	NA11843	9	CEU
45571672	47977454	1582817	2.405782	0.658	NA11892	11	CEU
54146065	57751948	2889735	3.605883	0.801	NA06984	13	CEU
61275131	64620731	2588398	3.3456	0.774	NA11843	13	CEU
45276786	47697802	1821611	2.421016	0.752	NA11894	14	CEU
71608619	73738085	1564393	2.129466	0.735	NA07000	15	CEU
66748612	69498553	1699996	2.749941	0.618	NA10851	16	CEU
71475457	74157596	2256309	2.682139	0.841	NA06984	18	CEU
31459562	33789142	1509048	2.32958	0.648	NA11831	20	CEU
167844104	170045144	1700521	2.20104	0.773	HG01131	1	CLM
44916077	55117589	7066111	10.201512	0.693	HG01142	1	CLM
22248881	34903214	8311531	12.654333	0.657	HG01148	1	CLM
98033259	107689172	7311033	9.655913	0.757	HG01259	1	CLM
31546120	34483780	1980494	2.93766	0.674	HG01260	1	CLM
6150637	10495110	2814867	4.344473	0.648	HG01269	1	CLM
38938391	41815894	1936288	2.877503	0.673	HG01269	1	CLM
2820861	16847190	9007095	14.026329	0.642	HG01275	1	CLM
17251056	20601321	2499196	3.350265	0.746	HG01275	1	CLM
58241437	62303680	3310515	4.062243	0.815	HG01275	1	CLM
107926023	111796322	2778355	3.870299	0.718	HG01275	1	CLM
159789662	164548924	3462177	4.759262	0.727	HG01275	1	CLM
61133441	64318335	2396644	3.184894	0.753	HG01277	1	CLM
221900824	244194842	16088678	22.294018	0.722	HG01348	1	CLM
205451595	220789236	11660550	15.337641	0.76	HG01350	1	CLM
220789525	230522690	6950023	9.733165	0.714	HG01350	1	CLM
169796285	173879028	2978468	4.082743	0.73	HG01119	2	CLM
173912271	184330546	8279840	10.418275	0.795	HG01119	2	CLM
185284301	187709167	1931283	2.424866	0.796	HG01131	2	CLM
11486	10058575	7885614	10.047089	0.785	HG01142	2	CLM
17254058	25725190	6724056	8.471132	0.794	HG01148	2	CLM
235849900	240387328	3609707	4.537428	0.796	HG01148	2	CLM
240388527	243046591	1892541	2.658064	0.712	HG01148	2	CLM
160865237	162991247	1677390	2.12601	0.789	HG01272	2	CLM
134629722	136825086	1621134	2.195364	0.738	HG01275	2	CLM
230297389	235608477	3675036	5.311088	0.692	HG01275	2	CLM
115898633	117968598	1618178	2.069965	0.782	HG01277	2	CLM
178011408	180128579	1662171	2.117171	0.785	HG01345	2	CLM
