START	END	cM	Len	SNP_Count	Prop_Cov	CHROM	Pop
56410877	57187094	0.92625371969	776217	19332	0.024905	10	CR
87300382	108055243	23.5167296393	20754861	401990	0.019368	10	CR
108862740	121876263	17.5917826383	13013523	306774	0.023573	10	CR
58411450	59128825	0.225689814815	717375	18490	0.025775	10	CR
2790644	6106662	9.442	3316018	87939	0.026519	10	CR
16256568	24693571	8.858	8437003	184347	0.021850	10	CR
45675102	53545046	4.3577389313	7869944	100902	0.012821	10	CR
17047286	23221446	5.282	6174160	132457	0.021453	10	CR
86832562	87240810	9.77280461917e-05	408248	10385	0.025438	10	CR
119854562	121876263	2.76136928328	2021701	42994	0.021266	10	CR
130422390	131865544	7.04111864407	1443154	42733	0.029611	10	CR
68835201	69558985	0.158791957105	723784	13262	0.018323	10	CR
134222821	135433029	0.0	1210208	29470	0.024351	10	CR
72239326	72542216	0.727820316195	302890	7517	0.024818	10	CR
79066495	87680139	4.5971612685	8613644	195531	0.022700	10	CR
100108828	101145713	0.6672	1036885	19856	0.019150	10	CR
102714161	108844524	3.9017	6130363	122551	0.019991	10	CR
64701881	70499927	3.71750117647	5798046	120230	0.020736	10	CR
133540584	134037165	0.0	496581	11878	0.023920	10	CR
37001416	45948205	2.056	8946789	89349	0.009987	10	CR
59435849	60456867	0.635	1021018	21247	0.020810	10	CR
119854562	121876263	2.76136928328	2021701	42994	0.021266	10	CR
15845312	22742600	7.68472852807	6897288	151333	0.021941	10	CR
65356395	71282981	4.2527	5926586	122216	0.020622	10	CR
18567274	19937717	1.2771	1370443	34172	0.024935	10	CR
65490756	72207845	6.42532985062	6717089	141837	0.021116	10	CR
100372078	101145713	0.1207	773635	13564	0.017533	10	CR
26158124	30346751	5.53382428256	4188627	82611	0.019723	10	CR
32456669	33682432	0.755171657754	1225763	24077	0.019642	10	CR
103585960	105313076	0.511370380435	1727116	25385	0.014698	10	CR
17456028	30285827	13.3991377358	12829799	268027	0.020891	10	CR
44179129	44801478	0.207974353448	622349	15702	0.025230	10	CR
68758662	69907940	0.55453164557	1149278	21018	0.018288	10	CR
104022299	105508281	0.628953850415	1485982	23282	0.015668	10	CR
77048096	77774371	0.939901297638	726275	16429	0.022621	10	CR
122250104	122730079	0.661270870677	479975	11199	0.023333	10	CR
133595629	134874464	0.0	1278835	33231	0.025985	10	CR
57044559	58834138	0.572681656839	1789579	41448	0.023161	10	CR
37876391	42500660	0.019	4624269	10717	0.002318	10	CR
86033312	87269656	0.000295960993173	1236344	27770	0.022461	10	CR
8779544	9624758	0.616664665768	845214	20236	0.023942	10	CR
6041768	6460152	1.9634	418384	9193	0.021973	10	CR
34372616	35669535	0.606101401869	1296919	26378	0.020339	10	CR
34364353	35297483	0.577166811537	933130	20343	0.021801	10	CR
2742641	3251297	2.34251190095	508656	15680	0.030826	10	CR
9059498	9624758	0.245028705882	565260	13476	0.023840	10	CR
